trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
349,False,"{'a': 0.6, 'e': 0.030500872171217483}",20,8,16.19212971049763,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.6, 'e': 0.0301973834223185}",25,19,10.961052217458239,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.6, 'e': 0.029896914436926308}",20,10,17.8182478094567,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.6, 'e': 0.029599435167892}",25,3,34.15606798592795,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.6, 'e': 0.029304915867040746}",20,14,4.937276175572828,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.6, 'e': 0.029013327082197053}",25,11,26.27141530309892,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.6, 'e': 0.028724639654239423}",20,11,17.655354401199823,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.6, 'e': 0.028438824714184505}",20,16,7.695051592769722,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.6, 'e': 0.028155853680300096}",30,10,36.246023854647206,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.6, 'e': 0.027875698255247015}",25,11,29.412302985998345,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.6, 'e': 0.027598330423249287}",25,17,15.911637729350609,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.6, 'e': 0.02732372244729256}",20,11,12.158121131962247,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.6, 'e': 0.027051846866350416}",25,15,1.952576275481162,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
362,False,"{'a': 0.6, 'e': 0.026782676492638175}",20,4,24.495474341222522,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.6, 'e': 0.02651618440889418}",25,13,20.930922436109196,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.6, 'e': 0.02625234396568796}",25,14,16.737622870561903,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.6, 'e': 0.025991128778755347}",25,17,11.670416393490115,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.6, 'e': 0.02573251272635994}",25,11,-16.185053534155138,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
367,False,"{'a': 0.6, 'e': 0.025476469946681016}",25,17,4.100297046399558,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
368,False,"{'a': 0.6, 'e': 0.025222974835227212}",25,12,21.26311278726019,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
